Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_L2Mu10_NoVertex_NoBPTX_v1	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele32_eta2p1_WPLoose_Gsf_TriCentralPFJet50_40_30_v1	TOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p45_v2	B2G	0	63	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	
HLT_PFJet320_v2	SMP	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu16_TkMu0_dEta18_Onia_v2	BPH,SMP	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_PFHT450_SixJet40_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DiPFJetAve200_v1	JetMET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu17_Mu8_SameSign_DPhi_v1	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_BTagMu_DiJet40_Mu5_v2	BTV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFHT250_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Dimuon8_PsiPrime_Barrel_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu7p5_Track7_Jpsi_v2	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon500_v1	Egamma	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFJet260_v2	JME,SMP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_PFHT600_v2	SUSY,EXO	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v2	B2G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
